,checkin,checkout,location,price
0,2023-07-22,2023-07-23,홍콩,96225
1,2023-07-22,2023-07-23,홍콩,92154
2,2023-07-22,2023-07-23,홍콩,96225
3,2023-07-22,2023-07-23,홍콩,74267
4,2023-07-22,2023-07-23,홍콩,133604
5,2023-07-22,2023-07-23,홍콩,68282
6,2023-07-22,2023-07-23,홍콩,102516
7,2023-07-22,2023-07-23,홍콩,97293
8,2023-07-22,2023-07-23,홍콩,138785
9,2023-07-22,2023-07-23,홍콩,64766
10,2023-07-22,2023-07-23,홍콩,185048
11,2023-07-22,2023-07-23,홍콩,92524
12,2023-07-22,2023-07-23,홍콩,101776
13,2023-07-22,2023-07-23,홍콩,80495
14,2023-07-22,2023-07-23,홍콩,64766
15,2023-07-22,2023-07-23,홍콩,119994
16,2023-07-22,2023-07-23,홍콩,74019
17,2023-07-22,2023-07-23,홍콩,96225
