,checkin,checkout,location,price
0,2023-08-05,2023-08-06,괌,182274
1,2023-08-05,2023-08-06,괌,168537
2,2023-08-05,2023-08-06,괌,369274
3,2023-08-05,2023-08-06,괌,220478
4,2023-08-05,2023-08-06,괌,109364
5,2023-08-05,2023-08-06,괌,163310
6,2023-08-05,2023-08-06,괌,106451
7,2023-08-05,2023-08-06,괌,153102
8,2023-08-05,2023-08-06,괌,172064
9,2023-08-05,2023-08-06,괌,267270
10,2023-08-05,2023-08-06,괌,226012
11,2023-08-05,2023-08-06,괌,123943
12,2023-08-05,2023-08-06,괌,1910183
13,2023-08-05,2023-08-06,괌,40825
14,2023-08-05,2023-08-06,괌,772818
15,2023-08-05,2023-08-06,괌,154558
16,2023-08-05,2023-08-06,괌,141436
17,2023-08-05,2023-08-06,괌,226012
