,checkin,checkout,location,price
0,2023-08-05,2023-08-06,홍콩,65442
1,2023-08-05,2023-08-06,홍콩,224371
2,2023-08-05,2023-08-06,홍콩,97228
3,2023-08-05,2023-08-06,홍콩,97228
4,2023-08-05,2023-08-06,홍콩,113872
5,2023-08-05,2023-08-06,홍콩,113120
6,2023-08-05,2023-08-06,홍콩,192483
7,2023-08-05,2023-08-06,홍콩,111625
8,2023-08-05,2023-08-06,홍콩,65442
9,2023-08-05,2023-08-06,홍콩,53849
10,2023-08-05,2023-08-06,홍콩,271116
11,2023-08-05,2023-08-06,홍콩,97228
12,2023-08-05,2023-08-06,홍콩,115925
13,2023-08-05,2023-08-06,홍콩,103397
14,2023-08-05,2023-08-06,홍콩,104707
15,2023-08-05,2023-08-06,홍콩,74603
16,2023-08-05,2023-08-06,홍콩,127144
17,2023-08-05,2023-08-06,홍콩,84139
