,checkin,checkout,location,price
0,2023-08-04,2023-08-05,오키나와,171960
1,2023-08-04,2023-08-05,오키나와,46896
2,2023-08-04,2023-08-05,오키나와,176262
3,2023-08-04,2023-08-05,오키나와,283116
4,2023-08-04,2023-08-05,오키나와,71236
5,2023-08-04,2023-08-05,오키나와,173523
6,2023-08-04,2023-08-05,오키나와,593630
7,2023-08-04,2023-08-05,오키나와,82195
8,2023-08-04,2023-08-05,오키나와,101091
9,2023-08-04,2023-08-05,오키나와,158910
10,2023-08-04,2023-08-05,오키나와,105027
11,2023-08-04,2023-08-05,오키나와,93839
12,2023-08-04,2023-08-05,오키나와,62532
13,2023-08-04,2023-08-05,오키나와,260549
14,2023-08-04,2023-08-05,오키나와,173523
15,2023-08-04,2023-08-05,오키나와,500257
16,2023-08-04,2023-08-05,오키나와,62386
17,2023-08-04,2023-08-05,오키나와,134444
